ocr_entry	pdf_page	year_layer	literal_heading_or_anchor	document_mode	datum_source	named_source	controlled_anchors	confidence	note
315	316	1862	1862; 9. Sheffield	COMPARATIVE_REFERENCE_BLOCK	COMPARATIVE_REASSEMBLY; PRINT_REFERENCE	Henry Marten reference	Low Moor; Cumberland; Sheffield; Mr Beale in Rotherham bei Sheffield; armour-plate figures	A layer / B details	Explicit 1862 heading; not a 1860 itinerary page
316	317	1862	Mit Alberts/Albers ... von Hoff	COMPARATIVE_TECHNICAL_BLOCK	COMPARATIVE_REASSEMBLY; DRAWING_SKETCH; UNCERTAIN		von Hoff; 27 Juli; Ebbw Vale; Cumberland; Forest of Dean; furnace sections	A von Hoff / B first companion	OCR Börde does not support Hörde visually; older dated/site data are reused on this sheet
317	318	1862	Ebbw Vale	COMPARATIVE_TECHNICAL_BLOCK	COMPARATIVE_REASSEMBLY; DRAWING_SKETCH		ore/material categories; hot/cold blast furnace profiles; dimensions; labour/output figures	A/B	Technical comparison, not clean chronology
318	319	1862	multiple works/furnace headings	COMPARATIVE_TECHNICAL_BLOCK	COMPARATIVE_REASSEMBLY; DRAWING_SKETCH		furnace profiles; labour/cost; output data	B	Exact works names require selective palaeographic control
319	320	1862	burden/charge and furnace comparison	COMPARATIVE_TECHNICAL_BLOCK	COMPARATIVE_REASSEMBLY; DRAWING_SKETCH		burden recipes; dimensions; labour organisation; wages	B	No checked diagram yet securely identified as Bessemer converter
320	321	1862	Mersey Steel Works?; Ulverstone	COMPARATIVE_TECHNICAL_BLOCK	COMPARATIVE_REASSEMBLY		Mr Clay; MacLeod-like name; Ulverstone; Scottish/works comparison	B	OCR Jersey likely Mersey; exact firm/person control pending
321	322	1862	Gartsherrie-related comparison	COMPARATIVE_TECHNICAL_BLOCK	COMPARATIVE_REASSEMBLY; DRAWING_SKETCH		Scottish works; labour/cost; furnace geometry	B	Continues 1862 comparison environment
322-top	323	probable 1862 continuation	Sheffield Brown	COMPARATIVE_REFERENCE_FRAGMENT	COMPARATIVE_REASSEMBLY		Sheffield/Brown quantitative note	A words / B year assignment	Spatially precedes the explicit Krug 1863 section on same page
322-bottom	323	1863	Mit Herrn von Krug: 1863.; Cornwall	SECTION_BOUNDARY	UNCERTAIN		Krug; Cornwall	A	Explicit new year/journey layer
322-bottom	323	1863	22 August; Tavistock; Great Devon Consols	DATED_SITE_TECHNICAL_NOTE	DIRECT_OR_SITE_NOTE; UNCERTAIN		Tavistock; Great Devon Consols; mine geometry/technical sketches	A/B	Do not infer all datum sources as direct until sentence-level control
323-338	324-339	1863 layer	Cornwall mining cluster	DATED_OR_SITE_TECHNICAL_NOTES	DIRECT_OR_SITE_NOTE; DRAWING_SKETCH; WORKS_DOCUMENT; UNCERTAIN		mining machinery; pumping/haulage/dressing; costs/labour; ore treatment	B	Notebook/page order is not strictly chronological
339	340	1863 notebook context	Cornwall aus de la Beche	PRINT_COPY_SECTION_MARKER	PRINT_COPY	Henry De la Beche	Explicit source-provenance heading	A	First-order actor marking of printed source provenance
341	342	1863 notebook context	Cornwall 4.; Vanning	PRINT_COPY	PRINT_COPY	Henry De la Beche, Report on the Geology of Cornwall, Devon and West Somerset (1839)	copper ores dressed/sampled/sold at ticketings; stannary jurisdiction; 24 stannators; parliament/speaker	A source identification	Passages match de la Beche 1839 pp. 596 and 618
343	344	1863	8ten August 63.; Great Devon Consols bei Tavistock	DATED_SITE_TECHNICAL_NOTE	DIRECT_OR_SITE_NOTE; ORAL_REPORT; WORKS_DOCUMENT; UNCERTAIN		Great Devon Consols; Tavistock; vein/depth/working/production data	A date/site / B provenance	Shows dated technical notes interleaved with explicitly copied de la Beche leaves
346	347	1863 layer	16t. August; Menheniot bei Liskeard	DATED_SITE_TECHNICAL_NOTE	DIRECT_OR_SITE_NOTE; ORAL_REPORT; WORKS_DOCUMENT; UNCERTAIN		Wheal Mary Ann; second Wheal name probable Trelawny; strike/dip; mine-operation detail	A date/place / B second mine	Year not repeated on heading; 1863 comes from controlled section context. External locality evidence makes Wheal Trelawny a plausible reading but manuscript normalisation remains pending
