source_id,source_name,source_type,observed_image_count_min,book_page_value,object_image_value,access_status,url,notes
WENWU_RECOMMEND,文物出版社新书推荐,publisher_article,10,high,medium,public,https://www.wenwu.com/newsinfo/11120837.html,"10 known likely book/sample images already harvested; highest-value source for page/order reconstruction."
GUANGZHOU_DAILY,广州日报新花城专题,news_feature,3,high,medium,public,https://huacheng.gz-cmc.com/pages/2026/06/17/eb9dd1f64b884f828e156a702afee4b9.html,"3 known book photographs; article also advertises video, making video-frame recovery a priority."
SHUSEIDO_JP,衆星堂商品页,bookseller_product,1,medium,medium,public,https://shuseido.com/?pid=192492972,"One unique product photograph already visually matched to CMA 2025.108; re-check page for future added images."
MUBAN_BOOK_LAUNCH,Muban Educational Trust Suzhou book launch,event_gallery,8,unknown,low_to_medium,public,https://www.mubaneducationaltrust.org/news/suzhou-prints-book-launch-in-china,"At least 8 independently named event JPGs exposed in page markup (IMG_3159,3167,3160,3165,3164,3163,3161,3053); inspect for open-book/page/header evidence."
MUBAN_CONFERENCE,Muban Educational Trust Suzhou prints conference,event_gallery,22,unknown,medium,public,https://www.mubaneducationaltrust.org/news/suzhou-prints-conference-in-china,"At least 22 independently named conference JPGs exposed in page markup; potentially includes projected slides, book copies, or print comparisons."
WENWU_LAUNCH,文物出版社苏州新书发布会,event_article,3,unknown,low,public,https://www.wenwu.com/newsinfo/11120643.html,"Three inline event images currently indexed; likely event documentation rather than page spreads, but inspect originals."
CHINA_DAILY,China Daily book feature,news_feature,1,medium,medium,public,https://global.chinadaily.com.cn/a/202606/08/WS6a266466a310d6866eb4d06c.html,"At least one supplied publication photograph; inspect original-resolution image for whether book is open and whether headers/page numbers are readable."
SOUQUEE_INTERVIEW,澎湃/澎湃艺术评论冯德保购藏访谈,interview,1,low,high,public,https://m.thepaper.cn/detail/31725067,"Directly establishes that the 220 prints sold to Cleveland + Met are all works included in the book; image pool may contain additional collection images."
INEWSWEEK_LAUNCH,中国新闻周刊发布会报道,event_article,1,unknown,low,public,https://www.inewsweek.cn/observe/2026-04-13/29740.shtml,"Launch coverage; search underlying image assets and syndication copies for higher-resolution variants."
SOHU_ANNOUNCEMENT,Sohu/苏州市公共文化中心活动预告,event_announcement,4,unknown,low,public,https://www.sohu.com/a/1007870918_121106832,"Explicitly says launch had media livestream and next-day conference had photo livestream; locating archived stream/albums is a high-priority expansion target."
GOOGLE_BOOKS,Google Books bibliographic record,book_record,1,low,low,public,https://books.google.com/books?id=ZtL90QEACAAJ,"Currently only front cover indexed; periodically recheck for preview/sample-page expansion."
