boundary_mode	carrier_or_mechanism	access_condition	what_it_makes_possible	Fischer_example	analytical_use	claim_ceiling
PUBLICATION	technical books / travel literature	general literacy plus relevant technical background	prior description before site visit	needle manufacture already described in technological writings; Swedenstierna quotation on published descriptions	compare textual availability with practical actionability	do not infer that print was useless
PRACTICAL_COMPETENCE	craft / metallurgical skill	prior embodied experience	turn written or observed information into actionable judgement	Swedenstierna quotation says existing knowledge plus practical ironworking competence can guide the practitioner	test whether competence is prerequisite for useful transfer	do not reduce all non-textual knowledge to tacit knowledge
AUTOPSY	direct works inspection	physical entry + time + competent guide	see scale, sequence, spatial organisation, live process	Fischer says British industrial scale/perfection cannot be grasped without Autopsie	distinguish presence from textual knowledge	direct seeing is not automatically reliable
RECOMMENDATION	letter / named introducer	trusted intermediary and visitor reputation	convert request into admission and technical conversation	London K. sends Fischer toward Low Moor; strong recommendation read before two-hour works tour	code access infrastructure and broker function	recommendation does not guarantee equal access everywhere
PRIVILEGED_ACCESS	selective factory permission	reputation / relationship / technical credibility	visitor can choose otherwise restricted objects/processes to inspect	Sheffield T. offers to show whatever Fischer wishes and says this is not offered to everyone	measure unequal visibility inside industrial sites	do not assume total transparency even for privileged visitors
SELECTIVE_DISCLOSURE	person-to-person communication	trusted relation / insider status	secret process can circulate without becoming public	Fischer recalls being told the still-secret caoutchouc waterproofing method c.18 years earlier	distinguish secrecy from immobility of knowledge	do not generalise one disclosure to whole industry
RECIPROCAL_EXCHANGE	questions / business information	willingness to disclose one's own information	creates entitlement to counter-question	Fischer answers wages and steel-production questions in detail to become entitled to ask counter-questions	model technical travel as negotiated exchange	do not infer exact quid pro quo where Fischer does not state it
DEMONSTRATION	live shop-floor operation	access to worker + process	procedural knowledge shown through action	Sheffield melter makes a crucible before Fischer; casting behaviour observed live	track performance/demonstration as carrier distinct from prose	demonstration does not prove later replication
SAMPLE	portable material object	permission to receive/carry material	comparison continues away from production site	Low Moor staged ore-coal-coke-iron series; crucible/clay fragments; Fischer's own steel samples	track portable matter as evidence carrier	sample identity/provenance must be controlled
DRAWING	technical / works image	possession or permission to view	spatial/process representation can circulate across sites	Alfredton furnace drawing; Beck drawings of Fischer works	compare representation with site access	drawing is selective representation, not transparent record
DOCUMENT_COPY	copied recommendation / letter	access to document before deployment	preserve access credentials and institutional judgement	Fischer copies recommendation letters; Brande letter carried back into Sheffield	track documentary portability and private record-making	copy may not preserve every material feature of original
PATENT_PRIORITY	caveat / patent procedure	legal registration, fee, disclosure sufficient for claim	secure priority and establish formal technical claim	Fischer files two caveats in London in 1845	compare legal boundary-making with secrecy/publication	caveat is not equivalent to full technical publication
SECRET	strategic non-disclosure	control over process information	retain competitive advantage by withholding detail	Swedenstierna quotation; Fischer 1846 remark that secrecy can be preferable to patenting	separate strategic withholding from inability to articulate	do not assume all Sheffield steel practice was secret
IMAGE_REPRODUCTION	photographic negative / positive	photographic operator, prepared medium, suitable weather/light	multiply an industrial image beyond the unique drawing	Croucher reproduces Beck foundry image as negative and positives	compare reproducibility of visual record with uniqueness of site visit	reproduction remains materially/environmentally contingent
INSTITUTIONAL_TEST	written test result / customer trial	sample submitted to recognised institution	produce portable authoritative judgement	Royal Mint trials Fischer steel and requests further supply	track authority created by external testing	trial result does not make all future batches identical
